date,error,pnl,entry_time,exit_time,direction,entry_price,exit_price
2025-07-14,'NoneType' object is not subscriptable,,,,,,
2025-07-15,'NoneType' object is not subscriptable,,,,,,
2025-07-16,'NoneType' object is not subscriptable,,,,,,
2025-07-17,'NoneType' object is not subscriptable,,,,,,
2025-07-18,'NoneType' object is not subscriptable,,,,,,
2025-07-19,'NoneType' object is not subscriptable,,,,,,
2025-07-20,'NoneType' object is not subscriptable,,,,,,
2025-07-21,'NoneType' object is not subscriptable,,,,,,
2025-07-22,'NoneType' object is not subscriptable,,,,,,
2025-07-23,'NoneType' object is not subscriptable,,,,,,
